fs/px   ss/px (1/d)/nm^-1    Intensity
1221.84 2316.45       2.62      725.40
2683.95 2318.80       2.43      143.93
1956.78 2342.33       1.19      879.25
1437.62 2347.36       2.10     1452.86
2546.00 2348.98       2.12      113.86
1441.61 2351.14       2.09      248.00
2471.34 2362.69       1.96      697.59
2562.88 2368.71       2.20       92.63
1918.46 2383.13       1.33      946.84
2116.15 2388.74       1.39      938.63
1257.82 2393.20       2.62      720.34
1496.35 2403.18       2.06      281.59
2262.95 2405.76       1.63     1022.10
1505.04 2409.16       2.05     1559.17
1878.70 2413.43       1.45      593.99
2573.28 2413.35       2.30      377.03
3007.13 2413.81       3.39       61.39
1839.99 2435.39       1.55      433.83
1597.97 2445.93       1.94      168.89
2090.83 2447.14       1.55      510.61
1591.56 2452.34       1.97     4237.96
1803.68 2450.65       1.63       83.03
1609.49 2457.25       1.94       62.76
1308.16 2461.16       2.61       56.50
2428.49 2462.54       2.08      325.85
1740.07 2465.63       1.75      706.49
2598.30 2496.93       2.51      298.33
2321.12 2514.65       2.01      100.46
1369.18 2515.16       2.57       54.50
2523.37 2518.76       2.40      278.44
 916.16 2520.17       3.63       52.17
2182.83 2522.42       1.85      315.86
1371.47 2527.02       2.58      621.76
2430.76 2527.74       2.23      274.49
2675.69 2529.30       2.75      378.87
2307.16 2577.18       2.15       48.17
2359.00 2588.52       2.26      139.11
1460.92 2593.29       2.54       89.64
2456.85 2593.85       2.44       51.11
2232.41 2607.38       2.14      152.28
2615.20 2619.16       2.79       68.86
1281.07 2620.73       2.96      145.30
1560.35 2624.60       2.44      229.17
1662.28 2630.50       2.30      311.82
1686.46 2636.54       2.29     1223.67
2538.93 2642.16       2.70     1154.97
2343.51 2643.30       2.38      265.15
1743.34 2643.65       2.24      155.21
1775.68 2643.50       2.21      112.15
2447.79 2652.29       2.56      922.96
2206.37 2653.18       2.25     1255.37
2749.01 2669.50       3.17      139.83
2615.50 2679.49       2.92       47.64
1363.90 2694.29       2.95       88.24
2175.81 2694.65       2.34      358.31
2321.67 2696.33       2.49      101.69
2687.54 2708.05       3.12      321.29
1209.22 2713.36       3.29      153.81
1805.00 2727.99       2.43       63.03
2141.49 2731.71       2.42      245.77
1560.22 2749.95       2.75      360.10
1738.53 2766.03       2.59       69.17
1769.90 2769.70       2.58       91.43
1803.53 2770.55       2.56      256.79
2187.50 2780.56       2.60      192.12
2324.99 2782.34       2.73      794.44
1627.00 2790.00       2.77       57.83
2523.74 2791.22       3.02       85.93
2428.82 2795.83       2.89       68.25
2154.16 2811.84       2.66      343.07
2025.98 2813.45       2.62      171.00
2296.72 2824.10       2.81      810.36
2595.81 2825.84       3.21       55.83
1388.67 2832.34       3.21      104.80
2119.16 2839.17       2.72       49.97
2505.79 2842.64       3.11      132.12
1946.99 2843.72       2.71      230.71
2404.79 2843.67       2.98      126.40
2663.50 2853.54       3.38       59.31
1803.04 2860.38       2.81      219.41
2046.02 2881.29       2.82      656.38
1640.17 2881.19       3.00       53.17
2376.64 2888.66       3.06      131.15
2230.08 2897.75       2.95      111.92
